@relation atp_matches_2018

@attribute surface {Hard,Clay,Grass}
@attribute winner {Player1,Player2}
@attribute winner_hand {R,L,U}
@attribute winner_ioc {USA,UZB,AUS,GER,UKR,ARG,KOR,GBR,BUL,CRO,RUS,ESP,ITA,BIH,FRA,GRE,SLO,AUT,BRA,SRB,KAZ,HUN,CHI,NED,BLR,IND,RSA,CAN,URU,POR,CZE,SVK,LTU,LUX,NOR,TUN,CYP,BEL,JPN,SUI,ECU,NZL,CHN,COL,DOM,PAK,ISR,SWE,PER,EGY,ESA,EST,ALG,MAR,HKG,DEN,IRL,LIB,TPE,PHI,INA,MEX,ROU,POL,SRI,THA,FIN,ZIM,TUR,VEN,GUA,MDA,LAT}
@attribute winner_age numeric
@attribute loser_hand {R,L,U}
@attribute loser_ioc {ARG,AUS,BIH,USA,LUX,CAN,GER,KOR,UZB,UKR,GBR,BUL,ESP,ITA,ISR,QAT,AUT,SRB,CZE,DOM,TUN,RUS,FRA,SLO,CRO,GRE,BEL,ROU,MDA,IND,BRA,HUN,CHI,BLR,KAZ,NED,RSA,JPN,CHN,NZL,NOR,URU,POR,SVK,LTU,SWE,CYP,SUI,ECU,BAR,BOL,PER,ESA,EST,GEO,IRI,IRL,DEN,TPE,LIB,INA,PHI,PUR,POL,THA,SRI,FIN,TUR,ZIM,GUA,VEN,LAT,MEX,COL,PAK,EGY,HKG,MAR,ALG,MON}
@attribute loser_age numeric
@attribute w_ace numeric
@attribute w_SvGms numeric
@attribute l_ace numeric
@attribute l_SvGms numeric
@attribute winner_rank numeric
@attribute loser_rank numeric

@data
Hard,Player1,R,KAZ,30.02,R,MDA,28.14,2,10,5,10,74,87
Hard,Player1,R,HUN,25.9,R,ARG,25.38,2,7,2,8,85,95
Hard,Player1,R,CHI,22.23,R,ESP,31.94,9,17,4,17,113,1690
Hard,Player1,R,NED,30.74,R,SLO,30.83,7,12,1,12,42,97
Hard,Player1,U,ESP,24.93,L,CZE,24.48,3,11,15,10,198,62
Hard,Player1,R,BLR,23.85,R,IND,20.38,5,9,2,9,230,223
Hard,Player1,R,FRA,33.01,R,USA,26.45,2,9,1,8,89,96
Hard,Player1,R,FRA,26.79,R,ITA,25.25,11,16,5,16,81,109
Hard,Player1,R,IND,25.49,R,IND,23.98,2,9,5,10,118,610
Hard,Player1,R,IND,23.15,R,ESP,24.78,8,10,1,10,148,106
Hard,Player1,R,RSA,31.62,L,BRA,23.59,10,8,5,9,14,124
Hard,Player1,R,KAZ,30.02,R,SRB,22.58,0,12,6,12,74,88
Hard,Player1,R,FRA,28.65,R,HUN,25.9,10,17,4,17,41,85
Hard,Player1,R,NED,30.74,R,CHI,22.23,13,16,12,17,42,113
Hard,Player1,U,ESP,24.93,R,BLR,23.85,0,10,4,10,198,230
Hard,Player1,R,FRA,33.01,R,ESP,29.72,4,11,0,10,89,20
Hard,Player1,R,FRA,26.79,R,IND,25.49,13,15,1,14,81,118
Hard,Player1,R,CRO,29.26,R,IND,23.15,8,10,5,9,6,148
Hard,Player1,R,RSA,31.62,R,KAZ,30.02,24,15,4,15,14,74
Hard,Player1,R,FRA,28.65,R,NED,30.74,9,15,7,14,41,42
